Year,StateAbbreviation,OFFICE NAME,Candidate,PARTY,Votes,Percent,VOTER REGISTRATION COUNT,TURNOUT
2020,TX,U. S. REPRESENTATIVE DISTRICT 3,CHRISTOPHER  J. CLAYTOR,LIB,8621,2.06%,"16,955,519",2.47%
2020,TX,U. S. REPRESENTATIVE DISTRICT 4,PAT FALLON,REP,253837,75.14%,"16,955,519",1.99%
2020,TX,U. S. REPRESENTATIVE DISTRICT 4,RUSSELL FOSTER,DEM,76326,22.59%,"16,955,519",1.99%
2020,TX,U. S. REPRESENTATIVE DISTRICT 4,LOU ANTONELLI,LIB,6334,1.88%,"16,955,519",1.99%
2020,TX,U. S. REPRESENTATIVE DISTRICT 4,TRACY JONES,WRI,1306,0.39%,"16,955,519",1.99%
2020,TX,U. S. REPRESENTATIVE DISTRICT 5,LANCE GOODEN (I),REP,173836,61.99%,"16,955,519",1.65%
2020,TX,U. S. REPRESENTATIVE DISTRICT 5,CAROLYN SALTER,DEM,100743,35.93%,"16,955,519",1.65%
2020,TX,U. S. REPRESENTATIVE DISTRICT 5,KEVIN A. HALE,LIB,5834,2.08%,"16,955,519",1.65%
2020,TX,U. S. REPRESENTATIVE DISTRICT 6,RON WRIGHT (I),REP,179507,52.8%,"16,955,519",2.01%
2020,TX,U. S. REPRESENTATIVE DISTRICT 6,STEPHEN DANIEL,DEM,149530,43.98%,"16,955,519",2.01%
2020,TX,U. S. REPRESENTATIVE DISTRICT 6,MELANIE A. BLACK,LIB,10955,3.22%,"16,955,519",2.01%
2020,TX,U. S. REPRESENTATIVE DISTRICT 7,WESLEY HUNT,REP,149054,47.45%,"16,955,519",1.85%
2020,TX,U. S. REPRESENTATIVE DISTRICT 7,LIZZIE FLETCHER (I),DEM,159529,50.79%,"16,955,519",1.85%
2020,TX,U. S. REPRESENTATIVE DISTRICT 7,SHAWN KELLY,LIB,5542,1.76%,"16,955,519",1.85%
2020,TX,U. S. REPRESENTATIVE DISTRICT 8,KEVIN BRADY (I),REP,277327,72.51%,"16,955,519",2.26%
2020,TX,U. S. REPRESENTATIVE DISTRICT 8,ELIZABETH HERNANDEZ,DEM,97409,25.47%,"16,955,519",2.26%
2020,TX,U. S. REPRESENTATIVE DISTRICT 8,CHRIS DUNCAN,LIB,7735,2.02%,"16,955,519",2.26%
2020,TX,U. S. REPRESENTATIVE DISTRICT 9,JOHNNY TEAGUE,REP,49575,21.64%,"16,955,519",1.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 9,AL GREEN (I),DEM,172938,75.48%,"16,955,519",1.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 9,JOSE R. SOSA,LIB,6594,2.88%,"16,955,519",1.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 10,MICHAEL MCCAUL (I),REP,217216,52.48%,"16,955,519",2.44%
2020,TX,U. S. REPRESENTATIVE DISTRICT 10,MIKE SIEGEL,DEM,187686,45.35%,"16,955,519",2.44%
2020,TX,U. S. REPRESENTATIVE DISTRICT 10,ROY ERIKSEN,LIB,8992,2.17%,"16,955,519",2.44%
2020,TX,U. S. REPRESENTATIVE DISTRICT 11,AUGUST PFLUGER,REP,232568,79.71%,"16,955,519",1.72%
2020,TX,U. S. REPRESENTATIVE DISTRICT 11,JON MARK HOGG,DEM,53394,18.3%,"16,955,519",1.72%
2020,TX,U. S. REPRESENTATIVE DISTRICT 11,WACEY ALPHA CODY,LIB,5811,1.99%,"16,955,519",1.72%
2020,TX,U. S. REPRESENTATIVE DISTRICT 12,KAY GRANGER (I),REP,233853,63.72%,"16,955,519",2.16%
2020,TX,U. S. REPRESENTATIVE DISTRICT 12,LISA WELCH,DEM,121250,33.04%,"16,955,519",2.16%
2020,TX,U. S. REPRESENTATIVE DISTRICT 12,TREY HOLCOMB,LIB,11918,3.25%,"16,955,519",2.16%
2020,TX,U. S. REPRESENTATIVE DISTRICT 13,RONNY JACKSON,REP,217124,79.38%,"16,955,519",1.61%
2020,TX,U. S. REPRESENTATIVE DISTRICT 13,GUS TRUJILLO,DEM,50477,18.46%,"16,955,519",1.61%
2020,TX,U. S. REPRESENTATIVE DISTRICT 13,JACK B. WESTBROOK,LIB,5907,2.16%,"16,955,519",1.61%
2020,TX,U. S. REPRESENTATIVE DISTRICT 14,RANDY WEBER (I),REP,190541,61.64%,"16,955,519",1.82%
2020,TX,U. S. REPRESENTATIVE DISTRICT 14,ADRIENNE BELL,DEM,118574,38.36%,"16,955,519",1.82%
2020,TX,U. S. REPRESENTATIVE DISTRICT 15,MONICA DE LA CRUZ-HERNANDEZ,REP,109017,47.62%,"16,955,519",1.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 15,VICENTE GONZALEZ (I),DEM,115605,50.5%,"16,955,519",1.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 15,ROSS  LYNN LEONE,LIB,4295,1.88%,"16,955,519",1.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 16,IRENE ARMENDARIZ-JACKSON,REP,84006,35.28%,"16,955,519",1.4%
2020,TX,U. S. REPRESENTATIVE DISTRICT 16,VERONICA ESCOBAR (I),DEM,154108,64.72%,"16,955,519",1.4%
2020,TX,U. S. REPRESENTATIVE DISTRICT 17,PETE SESSIONS,REP,171390,55.85%,"16,955,519",1.81%
2020,TX,U. S. REPRESENTATIVE DISTRICT 17,RICK KENNEDY,DEM,125565,40.92%,"16,955,519",1.81%
2020,TX,U. S. REPRESENTATIVE DISTRICT 17,TED BROWN,LIB,9918,3.23%,"16,955,519",1.81%
2020,TX,U. S. REPRESENTATIVE DISTRICT 18,WENDELL CHAMPION,REP,58033,23.51%,"16,955,519",1.46%
2020,TX,U. S. REPRESENTATIVE DISTRICT 18,SHEILA JACKSON LEE (I),DEM,180952,73.29%,"16,955,519",1.46%
2020,TX,U. S. REPRESENTATIVE DISTRICT 18,LUKE SPENCER,LIB,4514,1.83%,"16,955,519",1.46%
2020,TX,U. S. REPRESENTATIVE DISTRICT 18,VINCE DUNCAN,IND,3396,1.38%,"16,955,519",1.46%
2020,TX,U. S. REPRESENTATIVE DISTRICT 19,JODEY C. ARRINGTON (I),REP,198198,74.78%,"16,955,519",1.56%
2020,TX,U. S. REPRESENTATIVE DISTRICT 19,TOM WATSON,DEM,60583,22.86%,"16,955,519",1.56%
2020,TX,U. S. REPRESENTATIVE DISTRICT 19,JOE BURNES,LIB,6271,2.37%,"16,955,519",1.56%
2020,TX,U. S. REPRESENTATIVE DISTRICT 20,MAURO GARZA,REP,89628,33.11%,"16,955,519",1.6%
2020,TX,U. S. REPRESENTATIVE DISTRICT 20,JOAQUIN CASTRO (I),DEM,175078,64.67%,"16,955,519",1.6%
2020,TX,U. S. REPRESENTATIVE DISTRICT 20,JEFFREY BLUNT,LIB,6017,2.22%,"16,955,519",1.6%
2020,TX,U. S. REPRESENTATIVE DISTRICT 21,CHIP ROY (I),REP,235740,51.95%,"16,955,519",2.68%
2020,TX,U. S. REPRESENTATIVE DISTRICT 21,WENDY R. DAVIS,DEM,205780,45.35%,"16,955,519",2.68%
2020,TX,U. S. REPRESENTATIVE DISTRICT 21,ARTHUR DIBIANCA,LIB,8666,1.91%,"16,955,519",2.68%
2020,TX,U. S. REPRESENTATIVE DISTRICT 21,TOMMY WAKELY,GRE,3564,0.79%,"16,955,519",2.68%
2020,TX,U. S. REPRESENTATIVE DISTRICT 22,TROY NEHLS,REP,210259,51.53%,"16,955,519",2.41%
2020,TX,U. S. REPRESENTATIVE DISTRICT 22,SRI PRESTON KULKARNI,DEM,181998,44.6%,"16,955,519",2.41%
2020,TX,U. S. REPRESENTATIVE DISTRICT 22,JOSEPH LEBLANC JR,LIB,15791,3.87%,"16,955,519",2.41%
2020,TX,U. S. REPRESENTATIVE DISTRICT 23,TONY GONZALES,REP,149395,50.56%,"16,955,519",1.74%
2020,TX,U. S. REPRESENTATIVE DISTRICT 23,GINA ORTIZ JONES,DEM,137693,46.6%,"16,955,519",1.74%
2020,TX,U. S. REPRESENTATIVE DISTRICT 23,BETO VILLELA,LIB,8369,2.83%,"16,955,519",1.74%
2020,TX,U. S. REPRESENTATIVE DISTRICT 24,BETH VAN DUYNE,REP,167910,48.81%,"16,955,519",2.03%
2020,TX,U. S. REPRESENTATIVE DISTRICT 24,CANDACE VALENZUELA,DEM,163326,47.48%,"16,955,519",2.03%
2020,TX,U. S. REPRESENTATIVE DISTRICT 24,DARREN HAMILTON,LIB,5647,1.64%,"16,955,519",2.03%
2020,TX,U. S. REPRESENTATIVE DISTRICT 24,STEVE KUZMICH,IND,4229,1.23%,"16,955,519",2.03%
2020,TX,U. S. REPRESENTATIVE DISTRICT 24,MARK BAUER,IND,2909,0.85%,"16,955,519",2.03%
2020,TX,U. S. REPRESENTATIVE DISTRICT 25,ROGER WILLIAMS (I),REP,220088,55.93%,"16,955,519",2.32%
2020,TX,U. S. REPRESENTATIVE DISTRICT 25,JULIE OLIVER,DEM,165697,42.11%,"16,955,519",2.32%
2020,TX,U. S. REPRESENTATIVE DISTRICT 25,BILL KELSEY,LIB,7738,1.97%,"16,955,519",2.32%
2020,TX,U. S. REPRESENTATIVE DISTRICT 26,MICHAEL C. BURGESS (I),REP,261963,60.61%,"16,955,519",2.55%
2020,TX,U. S. REPRESENTATIVE DISTRICT 26,CAROL H. IANNUZZI,DEM,161009,37.25%,"16,955,519",2.55%
2020,TX,U. S. REPRESENTATIVE DISTRICT 26,MARK BOLER,LIB,9243,2.14%,"16,955,519",2.55%
2020,TX,U. S. REPRESENTATIVE DISTRICT 27,MICHAEL CLOUD (I),REP,172305,63.06%,"16,955,519",1.61%
2020,TX,U. S. REPRESENTATIVE DISTRICT 27,"RICARDO ""RICK"" DE LA FUENTE",DEM,95466,34.94%,"16,955,519",1.61%
2020,TX,U. S. REPRESENTATIVE DISTRICT 27,PHIL GRAY,LIB,5482,2.01%,"16,955,519",1.61%
2020,TX,U. S. REPRESENTATIVE DISTRICT 28,SANDRA WHITTEN,REP,91925,38.98%,"16,955,519",1.39%
2020,TX,U. S. REPRESENTATIVE DISTRICT 28,HENRY CUELLAR (I),DEM,137494,58.3%,"16,955,519",1.39%
2020,TX,U. S. REPRESENTATIVE DISTRICT 28,BEKAH CONGDON,LIB,6425,2.72%,"16,955,519",1.39%
2020,TX,U. S. REPRESENTATIVE DISTRICT 29,JAIMY Z. BLANCO,REP,42840,27.38%,"16,955,519",0.92%
2020,TX,U. S. REPRESENTATIVE DISTRICT 29,SYLVIA GARCIA (I),DEM,111305,71.13%,"16,955,519",0.92%
2020,TX,U. S. REPRESENTATIVE DISTRICT 29,PHIL KURTZ,LIB,2328,1.49%,"16,955,519",0.92%
2020,TX,U. S. REPRESENTATIVE DISTRICT 30,TRE PENNIE,REP,48685,18.41%,"16,955,519",1.56%
2020,TX,U. S. REPRESENTATIVE DISTRICT 30,EDDIE BERNICE JOHNSON (I),DEM,204928,77.49%,"16,955,519",1.56%
2020,TX,U. S. REPRESENTATIVE DISTRICT 30,ERIC WILLIAMS,IND,10851,4.1%,"16,955,519",1.56%
2020,TX,U. S. REPRESENTATIVE DISTRICT 31,JOHN CARTER (I),REP,212695,53.43%,"16,955,519",2.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 31,DONNA IMAM,DEM,176293,44.29%,"16,955,519",2.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 31,CLARK PATTERSON,LIB,8922,2.24%,"16,955,519",2.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 31,JONATHAN SCOTT,WRI,147,0.04%,"16,955,519",2.35%
2020,TX,U. S. REPRESENTATIVE DISTRICT 32,GENEVIEVE COLLINS,REP,157867,45.93%,"16,955,519",2.03%
2020,TX,U. S. REPRESENTATIVE DISTRICT 32,COLIN ALLRED (I),DEM,178542,51.95%,"16,955,519",2.03%
2020,TX,U. S. REPRESENTATIVE DISTRICT 32,CHRISTY MOWREY PETERSON,LIB,4946,1.44%,"16,955,519",2.03%
2020,TX,U. S. REPRESENTATIVE DISTRICT 32,JASON SIGMON,IND,2332,0.68%,"16,955,519",2.03%
2020,TX,U. S. REPRESENTATIVE DISTRICT 33,FABIAN CORDOVA VASQUEZ,REP,39638,25.15%,"16,955,519",0.93%
2020,TX,U. S. REPRESENTATIVE DISTRICT 33,MARC VEASEY (I),DEM,105317,66.82%,"16,955,519",0.93%
2020,TX,U. S. REPRESENTATIVE DISTRICT 33,JASON REEVES,LIB,2586,1.64%,"16,955,519",0.93%
2020,TX,U. S. REPRESENTATIVE DISTRICT 33,RENE WELTON,IND,1994,1.27%,"16,955,519",0.93%
2020,TX,U. S. REPRESENTATIVE DISTRICT 33,CARLOS QUINTANILLA,IND,8071,5.12%,"16,955,519",0.93%
2020,TX,U. S. REPRESENTATIVE DISTRICT 34,REY GONZALEZ,REP,84119,41.84%,"16,955,519",1.19%
2020,TX,U. S. REPRESENTATIVE DISTRICT 34,FILEMON B. VELA (I),DEM,111439,55.43%,"16,955,519",1.19%
2020,TX,U. S. REPRESENTATIVE DISTRICT 34,ANTHONY CRISTO,LIB,3222,1.6%,"16,955,519",1.19%
2020,TX,U. S. REPRESENTATIVE DISTRICT 34,CHRIS B. ROYAL,IND,2247,1.12%,"16,955,519",1.19%
2020,TX,U. S. REPRESENTATIVE DISTRICT 35,JENNY GARCIA SHARON,REP,80795,29.95%,"16,955,519",1.59%
2020,TX,U. S. REPRESENTATIVE DISTRICT 35,LLOYD DOGGETT (I),DEM,176373,65.37%,"16,955,519",1.59%
2020,TX,U. S. REPRESENTATIVE DISTRICT 35,MARK LOEWE,LIB,7393,2.74%,"16,955,519",1.59%
2020,TX,U. S. REPRESENTATIVE DISTRICT 35,JASON MATA SR,IND,5236,1.94%,"16,955,519",1.59%
2020,TX,U. S. REPRESENTATIVE DISTRICT 36,BRIAN BABIN (I),REP,222712,73.61%,"16,955,519",1.78%
2020,TX,U. S. REPRESENTATIVE DISTRICT 36,RASHAD LEWIS,DEM,73418,24.27%,"16,955,519",1.78%
2020,TX,U. S. REPRESENTATIVE DISTRICT 36,CHAD ABBEY,LIB,4848,1.6%,"16,955,519",1.78%
2020,TX,U. S. REPRESENTATIVE DISTRICT 36,HAL J. RIDLEY JR,GRE,1571,0.52%,"16,955,519",1.78%
2020,TX,RAILROAD COMMISSIONER,"JAMES ""JIM"" WRIGHT",REP,5831263,53.01%,"16,955,519",64.88%
2020,TX,RAILROAD COMMISSIONER,CHRYSTA CASTA„EDA,DEM,4792422,43.56%,"16,955,519",64.88%
2020,TX,RAILROAD COMMISSIONER,MATT STERETT,LIB,247659,2.25%,"16,955,519",64.88%
2020,TX,RAILROAD COMMISSIONER,"KATIJA ""KAT"" GRUENE",GRE,129638,1.18%,"16,955,519",64.88%
2020,TX,"CHIEF JUSTICE, SUPREME COURT",NATHAN HECHT (I),REP,5827085,52.98%,"16,955,519",64.86%
2020,TX,"CHIEF JUSTICE, SUPREME COURT",AMY CLARK MEACHUM,DEM,4893402,44.49%,"16,955,519",64.86%
2020,TX,"CHIEF JUSTICE, SUPREME COURT",MARK ASH,LIB,277491,2.52%,"16,955,519",64.86%
2020,TX,"JUSTICE, SUPREME COURT, PLACE 6 - UNEXPIRED TERM",JANE BLAND (I),REP,6050534,55.24%,"16,955,519",64.6%
2020,TX,"JUSTICE, SUPREME COURT, PLACE 6 - UNEXPIRED TERM",KATHY CHENG,DEM,4903527,44.76%,"16,955,519",64.6%
2020,TX,"JUSTICE, SUPREME COURT, PLACE 7",JEFF BOYD (I),REP,5843420,53.31%,"16,955,519",64.65%
2020,TX,"JUSTICE, SUPREME COURT, PLACE 7",STACI WILLIAMS,DEM,4861649,44.35%,"16,955,519",64.65%
2020,TX,"JUSTICE, SUPREME COURT, PLACE 7",WILLIAM BRYAN STRANGE III,LIB,256742,2.34%,"16,955,519",64.65%
2020,TX,"JUSTICE, SUPREME COURT, PLACE 8",BRETT BUSBY (I),REP,5847135,53.4%,"16,955,519",64.57%
2020,TX,"JUSTICE, SUPREME COURT, PLACE 8",GISELA D. TRIANA,DEM,4826674,44.08%,"16,955,519",64.57%
2020,TX,"JUSTICE, SUPREME COURT, PLACE 8",TOM OXFORD,LIB,274959,2.51%,"16,955,519",64.57%
2020,TX,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 3",BERT RICHARDSON (I),REP,5953924,54.53%,"16,955,519",64.39%
2020,TX,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 3",ELIZABETH DAVIS FRIZELL,DEM,4964460,45.47%,"16,955,519",64.39%
2020,TX,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 4",KEVIN PATRICK YEARY (I),REP,5974016,54.82%,"16,955,519",64.28%
2020,TX,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 4",TINA CLINTON,DEM,4924207,45.18%,"16,955,519",64.28%
2020,TX,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 9",DAVID NEWELL (I),REP,6015909,55.3%,"16,955,519",64.16%
2020,TX,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 9",BRANDON BIRMINGHAM,DEM,4863142,44.7%,"16,955,519",64.16%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 1",JENNIFER IVEY,REP,228140,44.23%,"16,955,519",3.04%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 1",GEORGINA PEREZ (I),DEM,287623,55.77%,"16,955,519",3.04%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",LANI POPP,REP,475824,47.15%,"16,955,519",5.95%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",REBECCA BELL-METEREAU,DEM,493930,48.94%,"16,955,519",5.95%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 5",STEPHANIE BERLIN,LIB,39456,3.91%,"16,955,519",5.95%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 6",WILL HICKMAN,REP,371958,49.76%,"16,955,519",4.41%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 6",MICHELLE PALMER,DEM,354179,47.38%,"16,955,519",4.41%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 6",WHITNEY BILYEU,LIB,21414,2.86%,"16,955,519",4.41%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 8",AUDREY YOUNG,REP,567058,73.43%,"16,955,519",4.55%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 8",AUDRA ROSE BERRY,LIB,205187,26.57%,"16,955,519",4.55%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 9",KEVEN M. ELLIS (I),REP,571322,74.71%,"16,955,519",4.51%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 9",BRENDA DAVIS,DEM,193364,25.29%,"16,955,519",4.51%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 10",TOM MAYNARD (I),REP,441700,50.84%,"16,955,519",5.12%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 10",MARSHA BURNETT-WEBSTER,DEM,398453,45.86%,"16,955,519",5.12%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 10",TRIP SEIBOLD,LIB,28603,3.29%,"16,955,519",5.12%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 14",SUE MELTON-MALONE (I),REP,582027,67.81%,"16,955,519",5.06%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 14",GREG ALVORD,DEM,276303,32.19%,"16,955,519",5.06%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 15",JAY JOHNSON,REP,496080,77.79%,"16,955,519",3.76%
2020,TX,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 15",JOHN BETANCOURT,DEM,141675,22.21%,"16,955,519",3.76%
2020,TX,"STATE SENATOR, DISTRICT 1",BRYAN HUGHES (I),REP,267404,75.26%,"16,955,519",2.1%
2020,TX,"STATE SENATOR, DISTRICT 1",AUDREY SPANKO,DEM,87885,24.74%,"16,955,519",2.1%
2020,TX,"STATE SENATOR, DISTRICT 4",BRANDON CREIGHTON (I),REP,281105,67.35%,"16,955,519",2.46%
2020,TX,"STATE SENATOR, DISTRICT 4",JAY STITTLEBURG,DEM,126019,30.19%,"16,955,519",2.46%
2020,TX,"STATE SENATOR, DISTRICT 4",CAMERON BROCK,LIB,10277,2.46%,"16,955,519",2.46%
2020,TX,"STATE SENATOR, DISTRICT 6",CAROL ALVARADO (I),DEM,137895,84.05%,"16,955,519",0.97%
2020,TX,"STATE SENATOR, DISTRICT 6",TIMOTHY DUFFIELD,LIB,26166,15.95%,"16,955,519",0.97%
2020,TX,"STATE SENATOR, DISTRICT 11",LARRY TAYLOR (I),REP,231268,59.45%,"16,955,519",2.29%
2020,TX,"STATE SENATOR, DISTRICT 11",SUSAN CRISS,DEM,148225,38.1%,"16,955,519",2.29%
2020,TX,"STATE SENATOR, DISTRICT 11",JARED WISSEL,LIB,9519,2.45%,"16,955,519",2.29%
2020,TX,"STATE SENATOR, DISTRICT 12",JANE NELSON (I),REP,293399,62.29%,"16,955,519",2.78%
2020,TX,"STATE SENATOR, DISTRICT 12",SHADI ZITOON,DEM,177610,37.71%,"16,955,519",2.78%
2020,TX,"STATE SENATOR, DISTRICT 13",MILINDA MORRIS,REP,48581,19.53%,"16,955,519",1.47%
2020,TX,"STATE SENATOR, DISTRICT 13",BORRIS L MILES (I),DEM,200195,80.47%,"16,955,519",1.47%
2020,TX,"STATE SENATOR, DISTRICT 18",LOIS W. KOLKHORST (I),REP,277872,65.79%,"16,955,519",2.49%
2020,TX,"STATE SENATOR, DISTRICT 18",MICHAEL ANTALAN,DEM,144489,34.21%,"16,955,519",2.49%
2020,TX,"STATE SENATOR, DISTRICT 19",PETER P. &QUOT;PETE&QUOT; FLORES (I),REP,148213,46.55%,"16,955,519",1.88%
2020,TX,"STATE SENATOR, DISTRICT 19",ROLAND GUTIERREZ,DEM,158726,49.85%,"16,955,519",1.88%
2020,TX,"STATE SENATOR, DISTRICT 19",JO-ANNE VALDIVIA,LIB,11465,3.6%,"16,955,519",1.88%
2020,TX,"STATE SENATOR, DISTRICT 20",JUDY CUTRIGHT,REP,109563,41.52%,"16,955,519",1.56%
2020,TX,"STATE SENATOR, DISTRICT 20",JUAN &QUOT;CHUY&QUOT; HINOJOSA (I),DEM,154311,58.48%,"16,955,519",1.56%
2020,TX,"STATE SENATOR, DISTRICT 21",FRANK POMEROY,REP,111142,39.86%,"16,955,519",1.64%
2020,TX,"STATE SENATOR, DISTRICT 21",JUDITH ZAFFIRINI (I),DEM,167672,60.14%,"16,955,519",1.64%
2020,TX,"STATE SENATOR, DISTRICT 22",BRIAN BIRDWELL (I),REP,257208,68.45%,"16,955,519",2.22%
2020,TX,"STATE SENATOR, DISTRICT 22",ROBERT VICK,DEM,118538,31.55%,"16,955,519",2.22%
2020,TX,"STATE SENATOR, DISTRICT 24",DAWN BUCKINGHAM (I),REP,264517,69.54%,"16,955,519",2.24%
2020,TX,"STATE SENATOR, DISTRICT 24",CLAYTON TUCKER,DEM,115853,30.46%,"16,955,519",2.24%
2020,TX,"STATE SENATOR, DISTRICT 26",JOSE&#769; MENE&#769;NDEZ (I),DEM,199829,79.99%,"16,955,519",1.47%
2020,TX,"STATE SENATOR, DISTRICT 26",JULIçN VILLARREAL,GRE,50004,20.01%,"16,955,519",1.47%
2020,TX,"STATE SENATOR, DISTRICT 27",VANESSA TIJERINA,REP,72768,35.19%,"16,955,519",1.22%
2020,TX,"STATE SENATOR, DISTRICT 27",EDDIE LUCIO JR (I),DEM,134035,64.81%,"16,955,519",1.22%
2020,TX,"STATE SENATOR, DISTRICT 28",CHARLES PERRY (I),REP,248025,100%,"16,955,519",1.46%
2020,TX,"STATE SENATOR, DISTRICT 29",BETHANY HATCH,REP,85619,32.68%,"16,955,519",1.55%
2020,TX,"STATE SENATOR, DISTRICT 29",CƒSAR J BLANCO,DEM,176360,67.32%,"16,955,519",1.55%
2020,TX,STATE REPRESENTATIVE DISTRICT 1,GARY VANDEAVER (I),REP,59508,100%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 2,BRYAN SLATON,REP,63074,81.29%,"16,955,519",0.46%
