state_abbreviation,congressional_district,2018 Two-Party D Share,2018 D-R,All Money,pollster,fte_grade,EndDate,Best Poll Two-Party D Share,Best Poll D-R
FL,7,0.5769191992388106,0.15383839847762115,3324543.0,Gravis Marketing,C,2020-01-03,0.500587544065805,1.1750881316098876e-3
FL,13,0.5764470566707995,0.15289411334159908,7361973.0,St. Pete Polls,C,2020-08-30,0.5867237687366167,0.17344753747323335
FL,16,0.45438546081459663,-9.12290783708067e-2,4986662.0,Data Targeting,,2020-08-29,0.4069767441860465,-0.18604651162790697
FL,26,0.5087461513961142,1.7492302792228475e-2,5827791.0,Meeting Street Research,B/C,2020-07-18,0.47191011235955055,-5.6179775280898875e-2
GA,6,0.5051480376260985,1.0296075252197064e-2,8969509.0,GQR Research (GQRR),B,2020-08-16,0.5154639175257731,3.0927835051546393e-2
GA,7,0.49925296229866534,-1.4940754026693671e-3,8942442.0,Public Policy Polling,B,2020-06-20,0.5185185185185185,3.7037037037037035e-2
IA,1,0.5260976453438094,5.2195290687618905e-2,7517606.0,Monmouth University,A+,2020-08-03,0.5595667870036101,0.11913357400722022
IA,2,0.5626105475941234,0.12522109518824676,3969195.0,Monmouth University,A+,2020-08-03,0.48188405797101447,-3.6231884057971016e-2
IA,3,0.5112188022993523,2.2437604598704794e-2,6304251.0,Monmouth University,A+,2020-08-03,0.5454545454545454,9.090909090909091e-2
IA,4,0.4828972655302012,-3.4205468939597666e-2,4638816.0,Monmouth University,A+,2020-08-03,0.37969924812030076,-0.24060150375939848
IL,6,0.5357525535273866,7.150510705477324e-2,6202229.0,Ogden & Fry,B/C,2019-12-17,0.4437869822485207,-0.11242603550295859
IL,13,0.49620258770214115,-7.5948245957176705e-3,5923746.0,RMG Research,B/C,2020-08-07,0.5119047619047619,2.3809523809523808e-2
IL,14,0.5250185902375176,5.003718047503525e-2,1.1517601e7,McLaughlin & Associates,C/D,2019-08-04,0.5529411764705883,0.10588235294117647
IN,5,0.4323831803693206,-0.1352336392613588,5588457.0,Global Strategy Group,B/C,2020-08-19,0.5402298850574713,8.045977011494253e-2
KS,2,0.4955212296515001,-8.957540696999885e-3,3220511.0,DCCC Targeting and Analytics Department,B/C,2020-07-30,0.47674418604651164,-4.6511627906976744e-2
KY,6,0.4837368484378551,-3.252630312428978e-2,4474598.0,Bluegrass Voters Coalition,,2020-07-13,0.5102040816326531,2.040816326530612e-2
ME,1,0.6440651379876626,0.28813027597532515,584168.0,Critical Insights,C/D,2020-08-09,0.6950354609929078,0.3900709219858156
ME,2,0.5052711417238539,1.0542283447707733e-2,5576646.0,Critical Insights,C/D,2020-08-09,0.5605095541401274,0.12101910828025478
MI,2,0.4371869004476657,-0.12562619910466852,2178558.0,Denno Research,,2020-07-11,0.39375,-0.2125
MI,3,0.4424284188175092,-0.11514316236498161,6176222.0,ALG Research,B/C,2020-06-07,0.5031446540880503,6.289308176100629e-3
MI,6,0.4762821560255472,-4.7435687948905576e-2,3723750.0,RMG Research,B/C,2020-08-06,0.5263157894736842,5.263157894736842e-2
MN,1,0.49774120961231255,-4.51758077537489e-3,4417481.0,RMG Research,B/C,2020-08-07,0.4810126582278481,-3.79746835443038e-2
MN,2,0.5275924838868432,5.518496777368649e-2,5127744.0,Harper Polling,B/C,2020-07-08,0.5555555555555556,0.1111111111111111
MN,7,0.5213336176867847,4.266723537356935e-2,3891709.0,Tarrance Group,B/C,2020-08-05,0.44680851063829785,-0.10638297872340426
MO,2,0.4799155876440198,-4.01688247119604e-2,6419762.0,Public Policy Polling,B,2020-08-14,0.5172413793103449,3.4482758620689655e-2
MT,1,0.4761432405678188,-4.771351886436233e-2,6231414.0,Public Policy Polling,B,2020-07-10,0.5,0.0
NC,8,0.4466129985402374,-0.1067740029195252,3853523.0,brilliant corners Research & Strategies,,2020-07-30,0.4880952380952381,-2.3809523809523808e-2
NC,11,0.39558603829960615,-0.20882792340078773,8413442.0,DCCC Targeting and Analytics Department,B/C,2020-08-06,0.47126436781609193,-5.747126436781609e-2
NE,2,0.4900497011892066,-1.9900597621586816e-2,4390977.0,GQR Research (GQRR),B,2020-07-05,0.5050505050505051,1.0101010101010102e-2
NH,1,0.5433770217512549,8.675404350250976e-2,3202490.0,University of New Hampshire,B-,2020-09-01,0.6046511627906976,0.20930232558139536
NH,2,0.5683524298696168,0.1367048597392335,3999281.0,University of New Hampshire,B-,2020-09-01,0.5683060109289617,0.1366120218579235
NJ,2,0.5390828669577323,7.816573391546473e-2,6757569.0,GQR Research (GQRR),B,2020-08-06,0.5257731958762887,5.154639175257732e-2
NJ,3,0.5065566898700544,1.3113379740108854e-2,6343782.0,Basswood Research,B/C,2020-07-15,0.5172413793103449,3.4482758620689655e-2
NJ,5,0.5693264965530673,0.13865299310613463,1.3034101e7,Cygnal,A/B,2020-01-26,0.5,0.0
NJ,7,0.5254901343739182,5.098026874783648e-2,6489674.0,Basswood Research,B/C,2020-03-11,0.4935064935064935,-1.2987012987012988e-2
NM,2,0.5093397438471112,1.8679487694222507e-2,1.110302e7,Public Opinion Strategies,B+,2019-12-19,0.48936170212765956,-2.127659574468085e-2
NY,1,0.5053931441358966,1.0786288271793306e-2,1.1209094e7,Public Policy Polling,B,2020-07-15,0.45977011494252873,-8.045977011494253e-2
NY,3,0.6029969475534178,0.20599389510683563,4035895.0,Douma Research,,2020-08-02,0.5617977528089888,0.12359550561797752
NY,23,0.4679830826021629,-6.403383479567419e-2,3445997.0,Global Strategy Group,B/C,2020-07-26,0.4318181818181818,-0.13636363636363635
NY,24,0.5051516736401673,1.0303347280334729e-2,6515557.0,Public Opinion Strategies,B+,2020-08-15,0.43956043956043955,-0.12087912087912088
OH,1,0.4775130529528605,-4.4973894094279036e-2,3749555.0,GQR Research (GQRR),B,2020-07-02,0.48936170212765956,-2.127659574468085e-2
OK,5,0.506984432541011,1.3968865082022096e-2,9822349.0,GQR Research (GQRR),B,2020-08-09,0.5257731958762887,5.154639175257732e-2
PA,1,0.4874044111850284,-2.5191177629943176e-2,4580341.0,Public Opinion Strategies,B+,2020-07-14,0.42391304347826086,-0.15217391304347827
PA,10,0.48677641367130187,-2.644717265739624e-2,5256298.0,GBAO,B/C,2020-09-01,0.5208333333333334,4.1666666666666664e-2
PA,16,0.47834130511028805,-4.3317389779423954e-2,1963929.0,Public Policy Polling,B,2020-06-23,0.45454545454545453,-9.090909090909091e-2
SC,1,0.5069390230301678,1.3878046060335695e-2,9919964.0,First Tuesday Strategies,,2020-05-18,0.4914841849148418,-1.703163017031633e-2
TX,3,0.449170441326514,-0.10165911734697193,3124800.0,Public Opinion Strategies,B+,2020-08-04,0.42168674698795183,-0.1566265060240964
TX,6,0.4611372472860874,-7.772550542782518e-2,896467.0,DCCC Targeting and Analytics Department,B/C,2020-06-28,0.47674418604651164,-4.6511627906976744e-2
TX,7,0.5252810949051934,5.0562189810386654e-2,9657311.0,Remington Research Group,C-,2020-03-05,0.5,0.0
TX,10,0.4782005312084993,-4.3598937583001325e-2,7275882.0,RMG Research,B/C,2020-08-03,0.4588235294117647,-8.235294117647059e-2
TX,17,0.42106212244161934,-0.15787575511676133,4672815.0,Lincoln Park Strategies,,2020-08-23,0.4827586206896552,-3.4482758620689655e-2
TX,21,0.4866604059813624,-2.6679188037275158e-2,8510668.0,ALG Research,B/C,2020-08-20,0.5,0.0
TX,22,0.4749108809465698,-5.017823810686036e-2,1.4925789e7,RMG Research,B/C,2020-08-02,0.5,0.0
TX,23,0.4977485363054599,-4.502927389080158e-3,6806293.0,Public Opinion Strategies,B+,2020-08-09,0.5061728395061729,1.2345679012345678e-2
TX,24,0.4843626715348794,-3.1274656930241194e-2,1.0106934e7,Victoria Research & Consulting,B/C,2020-08-02,0.5393258426966292,7.865168539325842e-2
TX,25,0.4555155506866884,-8.89688986266232e-2,3336797.0,Remington Research Group,C-,2020-09-02,0.43478260869565216,-0.13043478260869565
UT,4,0.501288841676757,2.5776833535140434e-3,6309546.0,Moore Information,B/C,2020-07-11,0.44155844155844154,-0.11688311688311688
VA,2,0.5111947815067264,2.2389563013452782e-2,5649689.0,Tarrance Group,B/C,2020-07-16,0.5,0.0
VA,5,0.46729965622674213,-6.54006875465157e-2,7644139.0,Public Policy Polling,B,2020-06-25,0.4880952380952381,-2.3809523809523808e-2
WA,3,0.47329002102686624,-5.341995794626757e-2,5481490.0,RMG Research,B/C,2020-08-04,0.47619047619047616,-4.7619047619047616e-2
WA,10,0.6154401555123576,0.23088031102471535,5157670.0,GQR Research (GQRR),B,2020-08-28,1.0,1.0
WI,1,0.43653333333333333,-0.12693333333333334,2878737.0,Public Policy Polling,B,2020-07-08,0.4431818181818182,-0.11363636363636363
WI,3,0.596719895321214,0.19343979064242794,5298557.0,NRCC,,2019-07-11,0.48863636363636365,-2.2727272727272728e-2
